Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-BRNaturalizacao-1.0.json	5413	18	0	0	1	0	0	85	0	60	0	0	0	0	0	0	0	1	0	0	126	323	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-BRNomeIndividuo-1.0.json	5848	15	0	0	0	0	0	58	0	45	0	0	0	0	0	0	0	0	0	0	101	407	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-BRNacionalidade.json	1117	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BRSexo.json	777	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	35	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BRTipoLogradouro-1.0.json	1880	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	7	251	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BRRacaCor-1.0.json	431	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BRParentesco-1.0.json	471	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRPais.json	22813	74	0	0	0	0	0	0	2	85	0	0	1	0	0	0	0	0	0	0	133	96	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-BRMeioContato-1.0.json	5502	12	1	0	0	0	0	52	0	42	0	0	0	0	0	0	0	0	0	0	89	336	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BRDocumentoIndividuo-1.0.json	5368	17	0	0	0	0	0	121	0	96	0	0	0	0	0	0	0	0	0	0	193	701	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-BRIdentidadeGenero.json	1360	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BRNaturezaJuridica-1.0.json	1998	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	242	0	0	0	0	0	1
