Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-BRNaturalizacao-1.0.json	5413	11	0	0	0	0	0	93	10	66	0	0	0	0	0	0	0	0	0	0	119	319	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BRNomeIndividuo-1.0.json	5848	14	0	0	0	0	0	54	0	52	0	0	0	0	0	0	0	1	0	0	114	385	0	0	0	3	1	0
fsh-generated/resources/CodeSystem-BRNacionalidade.json	1117	4	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	9	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRSexo.json	777	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BRTipoLogradouro-1.0.json	1880	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	9	561	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BRRacaCor-1.0.json	431	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	37	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BRParentesco-1.0.json	471	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRPais.json	22813	66	0	0	0	0	0	0	3	82	0	0	0	0	0	0	0	0	0	0	130	147	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BRMeioContato-1.0.json	5502	10	0	0	0	0	0	50	0	46	0	0	0	0	0	0	0	0	0	0	83	331	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BRDocumentoIndividuo-1.0.json	5368	15	1	0	0	0	0	121	0	144	0	0	0	0	0	0	0	0	0	0	174	652	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-BRIdentidadeGenero.json	1360	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BRNaturezaJuridica-1.0.json	1998	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	583	0	0	0	1	0	0
